postcode;eastings;northings;latitude;longitude;town;region;uk_region;country;country_string
EC2M;532800;181700;5.151.811;-0.08578;;City of London;London;ENG;England
EC2N;532800;181500;5.151.631;-0.08586;;City of London;London;ENG;England
EC2P;532378;181476;515.167;-0.09356;;City of London;London;ENG;England
EC2R;532400;181500;515.164;-0.09162;;City of London;London;ENG;England
EC2V;532300;181400;5.151.553;-0.0931;;City of London;London;ENG;England
EC2Y;532100;181900;5.152.007;-0.09579;;City of London;London;ENG;England
EC3;533000;181200;5.151.357;-0.08309;;City of London;London;ENG;England
EC3A;533100;181400;5.151.534;-0.08158;;City of London;London;ENG;England
EC3M;533000;181100;5.151.267;-0.08313;;City of London;London;ENG;England
EC3N;533300;181100;515.126;-0.07881;;City of London;London;ENG;England
EC3R;532900;181000;5.151.179;-0.08461;;City of London;London;ENG;England
EC3V;532800;181200;5.151.361;-0.08597;;City of London;London;ENG;England
EC4;531800;181300;5.151.475;-0.10034;;City of London;London;ENG;England
EC4A;531300;181400;5.151.576;-0.10751;;City of London;London;ENG;England
EC4M;531800;181300;5.151.475;-0.10034;;City of London;London;ENG;England
EC4N;532300;181300;5.151.463;-0.09314;;City of London;London;ENG;England
EC4R;532400;181000;5.151.191;-0.09181;;City of London;London;ENG;England
EC4V;531900;181100;5.151.293;-0.09897;;City of London;London;ENG;England
EC4Y;531300;181200;5.151.397;-0.10758;;City of London;London;ENG;England
